304.827,3,Output On Event,TrayLight #1,,9,0,,,,
304.827,16,Variable Event,First_Trial,,9,1,Value,0,,
304.827,16,Variable Event,First_Analysis,,9,1,Value,1,,
304.827,16,Variable Event,ITI,,9,1,Value,20,,
304.827,21,Group Change Event,Group Change,,9,1,New Group,15,,
304.827,1,Condition Event,Next trial non corrected Trial,,15,0,,,,
304.827,19,List Change - Next Value,Grid_Position,,15,2,Index,2,Value,1
304.827,21,Group Change Event,Group Change,,15,1,New Group,3,,
305.157,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
306.735,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
307.639,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
315.567,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
315.697,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
316.599,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
317.045,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
317.331,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
319.223,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
321.34,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
324.009,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
336.148,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
339.982,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
340.157,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
341.148,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
341.947,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
347.35,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
347.525,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
348.542,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
353.126,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
355.999,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
359.077,30,Touch Down Event,Bussey Mouse Operant Mode 2 x 1 x low,,3,2,Position,0,(NoImageOrVideo),-1
359.097,31,Touch Up Event,Bussey Mouse Operant Mode 2 x 1 x low,,3,2,Position,0,(NoImageOrVideo),-1
359.155,30,Touch Down Event,Bussey Mouse Operant Mode 2 x 1 x low,,3,2,Position,1,Image 1,0
359.155,31,Touch Up Event,Bussey Mouse Operant Mode 2 x 1 x low,,3,2,Position,1,Image 1,0
359.294,30,Touch Down Event,Bussey Mouse Operant Mode 2 x 1 x low,,3,2,Position,1,Image 1,0
359.56,31,Touch Up Event,Bussey Mouse Operant Mode 2 x 1 x low,,3,2,Position,1,Image 1,0
359.974,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
360.385,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
361.731,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
362.585,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
362.922,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
364.076,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
365.237,38,Input Transition On Event,BIRBeam #1,,3,0,,,,
365.585,39,Input Transition Off Event,BIRBeam #1,,3,0,,,,
367.297,38,Input Transition On Event,BIRBeam #1,,3,0,,,,
369.42,39,Input Transition Off Event,BIRBeam #1,,3,0,,,,
371.88,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
373.03,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
375.057,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
376.682,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
377.66,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
378.622,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
380.017,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
381.606,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
381.618,30,Touch Down Event,Bussey Mouse Operant Mode 2 x 1 x low,,3,2,Position,2,Image 1,0
381.753,31,Touch Up Event,Bussey Mouse Operant Mode 2 x 1 x low,,3,2,Position,2,Image 1,0
381.89,30,Touch Down Event,Bussey Mouse Operant Mode 2 x 1 x low,,3,2,Position,2,Image 1,0
382.158,31,Touch Up Event,Bussey Mouse Operant Mode 2 x 1 x low,,3,2,Position,2,Image 1,0
382.173,38,Input Transition On Event,FIRBeam #1,,3,0,,,,
383.026,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,
383.241,38,Input Transition On Event,BIRBeam #1,,3,0,,,,
383.687,39,Input Transition Off Event,BIRBeam #1,,3,0,,,,
383.856,38,Input Transition On Event,BIRBeam #1,,3,0,,,,
