Name,Value,,,,,,,,,,,,,,,
Schedule,PosnerExogenous_probe_tone,,,,,,,,,,,,,,,
Environment,Chamber4 [4],,,,,,,,,,,,,,,
Date/Time,13/07/2019 18:36,,,,,,,,,,,,,,,
Database,TEST,,,,,,,,,,,,,,,
SessionId,1051,,,,,,,,,,,,,,,
Index,0,,,,,,,,,,,,,,,
Version,N/A,,,,,,,,,,,,,,,
MachineName,KMBD-03541-W,,,,,,,,,,,,,,,
SGuid,,,,,,,,,,,,,,,,
Animal ID,999,,,,,,,,,,,,,,,
Application_Version,ABET II Touch 18.11.01.0,,,,,,,,,,,,,,,
Max_Number_Trials,0,,,,,,,,,,,,,,,
Max_Schedule_Time,0,,,,,,,,,,,,,,,
Schedule_Start_Time,2019-07-13T18:36:55.200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
----------,,,,,,,,,,,,,,,,
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
0,16,Variable Event,Validity,,0,1,Value,0,,,,,,,,
0,16,Variable Event,zz_AnticipationError_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,zz_Correct_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,zz_Incorrect_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,zz_Omission_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,zzMT_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,zzRT_Timer,,0,1,Value,0,,,,,,,,
0,37,Image List Definition,Background,,0,1,Posner task,5,,,,,,,,
0,36,List Array - Write,Background,,0,1,Image 1,1,,,,,,,,
0,17,List Change - Set,Background,,0,2,Index,1,Value,1,,,,,,
0,22,List Array - Write,First_10_Tone_Cue,,0,5,Item #1,0,Item #2,0,Item #3,0,Item #4,0,Item #5,0
0,22,List Array - Write,First_10_Tone_Cue,,0,5,Item #6,1,Item #7,1,Item #8,1,Item #9,1,Item #10,1
0,17,List Change - Set,First_10_Tone_Cue,,0,2,Index,10,Value,1,,,,,,
0,22,List Array - Write,First_10_Trial,,0,5,Item #1,113,Item #2,113,Item #3,113,Item #4,113,Item #5,113
0,22,List Array - Write,First_10_Trial,,0,5,Item #6,331,Item #7,331,Item #8,331,Item #9,331,Item #10,331
0,17,List Change - Set,First_10_Trial,,0,2,Index,9,Value,331,,,,,,
0,37,Image List Definition,Image,,0,1,Posner task,5,,,,,,,,
0,36,List Array - Write,Image,,0,4,CentralStimulus,1,Target,2,dim,3,Cue,4,,
0,17,List Change - Set,Image,,0,2,Index,1,Value,1,,,,,,
0,22,List Array - Write,Invalid_Tone_Cue,,0,5,Item #1,0,Item #2,0,Item #3,0,Item #4,0,Item #5,0
0,22,List Array - Write,Invalid_Tone_Cue,,0,5,Item #6,1,Item #7,1,Item #8,1,Item #9,1,Item #10,1
0,17,List Change - Set,Invalid_Tone_Cue,,0,2,Index,7,Value,1,,,,,,
0,22,List Array - Write,Invalid_Trials,,0,5,Item #1,131,Item #2,131,Item #3,131,Item #4,131,Item #5,131
0,22,List Array - Write,Invalid_Trials,,0,5,Item #6,313,Item #7,313,Item #8,313,Item #9,313,Item #10,313
0,17,List Change - Set,Invalid_Trials,,0,2,Index,3,Value,131,,,,,,
0,22,List Array - Write,Valid_Tone_Cue,,0,5,Item #1,0,Item #2,0,Item #3,0,Item #4,0,Item #5,0
0,22,List Array - Write,Valid_Tone_Cue,,0,5,Item #6,1,Item #7,1,Item #8,1,Item #9,1,Item #10,1
0,17,List Change - Set,Valid_Tone_Cue,,0,2,Index,6,Value,1,,,,,,
0,22,List Array - Write,Valid_Trials,,0,5,Item #1,113,Item #2,113,Item #3,113,Item #4,113,Item #5,113
0,22,List Array - Write,Valid_Trials,,0,5,Item #6,331,Item #7,331,Item #8,331,Item #9,331,Item #10,331
0,17,List Change - Set,Valid_Trials,,0,2,Index,10,Value,331,,,,,,
0,22,List Array - Write,Validity_List,,0,5,Item #1,1,Item #2,1,Item #3,0,Item #4,0,Item #5,1
0,22,List Array - Write,Validity_List,,0,5,Item #6,0,Item #7,1,Item #8,0,Item #9,1,Item #10,1
0,22,List Array - Write,Validity_List,,0,5,Item #11,0,Item #12,1,Item #13,0,Item #14,1,Item #15,1
0,22,List Array - Write,Validity_List,,0,5,Item #16,0,Item #17,0,Item #18,1,Item #19,0,Item #20,1
0,22,List Array - Write,Validity_List,,0,5,Item #21,0,Item #22,1,Item #23,0,Item #24,0,Item #25,0
0,22,List Array - Write,Validity_List,,0,5,Item #26,1,Item #27,1,Item #28,0,Item #29,1,Item #30,1
0,22,List Array - Write,Validity_List,,0,5,Item #31,0,Item #32,0,Item #33,0,Item #34,1,Item #35,1
0,22,List Array - Write,Validity_List,,0,5,Item #36,0,Item #37,1,Item #38,0,Item #39,0,Item #40,1
0,22,List Array - Write,Validity_List,,0,5,Item #41,1,Item #42,0,Item #43,0,Item #44,1,Item #45,0
0,22,List Array - Write,Validity_List,,0,5,Item #46,1,Item #47,1,Item #48,0,Item #49,1,Item #50,0
0,22,List Array - Write,Validity_List,,0,5,Item #51,1,Item #52,1,Item #53,0,Item #54,1,Item #55,1
0,22,List Array - Write,Validity_List,,0,5,Item #56,0,Item #57,1,Item #58,0,Item #59,0,Item #60,1
0,22,List Array - Write,Validity_List,,0,5,Item #61,1,Item #62,0,Item #63,1,Item #64,1,Item #65,0
0,22,List Array - Write,Validity_List,,0,5,Item #66,1,Item #67,0,Item #68,1,Item #69,1,Item #70,0
0,22,List Array - Write,Validity_List,,0,5,Item #71,1,Item #72,1,Item #73,0,Item #74,0,Item #75,1
0,22,List Array - Write,Validity_List,,0,5,Item #76,1,Item #77,0,Item #78,1,Item #79,0,Item #80,1
0,22,List Array - Write,Validity_List,,0,5,Item #81,0,Item #82,1,Item #83,1,Item #84,0,Item #85,1
0,22,List Array - Write,Validity_List,,0,5,Item #86,1,Item #87,0,Item #88,1,Item #89,1,Item #90,0
0,22,List Array - Write,Validity_List,,0,5,Item #91,1,Item #92,0,Item #93,1,Item #94,0,Item #95,0
0,22,List Array - Write,Validity_List,,0,5,Item #96,0,Item #97,1,Item #98,1,Item #99,0,Item #100,1
0,22,List Array - Write,Validity_List,,0,5,Item #101,0,Item #102,1,Item #103,1,Item #104,0,Item #105,1
0,22,List Array - Write,Validity_List,,0,5,Item #106,1,Item #107,0,Item #108,1,Item #109,1,Item #110,0
0,17,List Change - Set,Validity_List,,0,2,Index,1,Value,1,,,,,,
0,0,Schedule Startup Event,(SYSTEM),,0,0,,,,,,,,,,
0,29,Timer Event,_Schedule_Timer,,0,1,Value,0,,,,,,,,
0.001,21,Group Change Event,Group Change,,0,1,New Group,1,,,,,,,,
0.005,1,Condition Event,Set Blank Images,,1,0,,,,,,,,,,
0.005,32,Whisker - Display Image,Posner task,Background,1,2,Position,1,Image 1,0,,,,,,
0.005,32,Whisker - Display Image,Posner task,Background,1,2,Position,2,Image 1,0,,,,,,
0.005,32,Whisker - Display Image,Posner task,Background,1,2,Position,3,Image 1,0,,,,,,
0.005,3,Output On Event,White_Noise_Off #1,,1,0,,,,,,,,,,
0.005,21,Group Change Event,Group Change,,1,1,New Group,22,,,,,,,,
0.1,1,Condition Event,Reset Sound Levels to Zero,,22,0,,,,,,,,,,
0.1,4,Output Off Event,Sound #1,,22,0,,,,,,,,,,
0.1,4,Output Off Event,Sound #2,,22,0,,,,,,,,,,
0.1,4,Output Off Event,Sound #3,,22,0,,,,,,,,,,
0.1,21,Group Change Event,Group Change,,22,1,New Group,23,,,,,,,,
0.1,1,Condition Event,Adjust Sound Level 2,,23,0,,,,,,,,,,
0.1,3,Output On Event,Sound #2,,23,0,,,,,,,,,,
0.1,1,Condition Event,NoTone Fall Through,,23,0,,,,,,,,,,
0.1,21,Group Change Event,Group Change,,23,1,New Group,24,,,,,,,,
0.1,1,Condition Event,Tone set,,24,0,,,,,,,,,,
0.1,21,Group Change Event,Group Change,,24,1,New Group,2,,,,,,,,
0.1,1,Condition Event,Free Feed,,2,0,,,,,,,,,,
0.1,3,Output On Event,TrayLight #1,,2,0,,,,,,,,,,
0.1,7,Pulse Output Event,Feeder #1,,2,1,Duration,0.28,,,,,,,,
0.1,7,Pulse Output Event,Sound_On #1,,2,1,Duration,1,,,,,,,,
0.1,16,Variable Event,SkipTrial_inc,,2,1,Value,1,,,,,,,,
0.1,21,Group Change Event,Group Change,,2,1,New Group,3,,,,,,,,
16.581,38,Input Transition On Event,BIRBeam #1,,3,0,,,,,,,,,,
16.621,39,Input Transition Off Event,BIRBeam #1,,3,0,,,,,,,,,,
16.641,38,Input Transition On Event,Tray #1,,3,0,,,,,,,,,,
16.641,1,Condition Event,Tray Entry starts first trial,,3,0,,,,,,,,,,
16.641,4,Output Off Event,TrayLight #1,,3,0,,,,,,,,,,
16.641,16,Variable Event,Trial_Type,,3,1,Value,331,,,,,,,,
16.641,16,Variable Event,Starting_Validity,,3,1,Value,11,,,,,,,,
16.641,17,List Change - Set,Validity_List,,3,2,Index,11,Value,0,,,,,,
16.641,16,Variable Event,Tone_Cue,,3,1,Value,1,,,,,,,,
16.641,21,Group Change Event,Group Change,,3,1,New Group,4,,,,,,,,
16.641,1,Condition Event,Select Trial Type,,4,0,,,,,,,,,,
16.641,32,Whisker - Display Image,Posner task,Image,4,2,Position,4,CentralStimulus,0,,,,,,
16.641,16,Variable Event,aTrial_Set,,4,1,Value,331,,,,,,,,
16.641,16,Variable Event,aTone_Set,,4,1,Value,1,,,,,,,,
16.641,16,Variable Event,Hold_Time,,4,1,Value,0.175,,,,,,,,
16.641,21,Group Change Event,Group Change,,4,1,New Group,5,,,,,,,,
16.641,1,Condition Event,Trial set 331,,5,0,,,,,,,,,,
16.641,16,Variable Event,Cue_Position,,5,1,Value,3,,,,,,,,
16.641,16,Variable Event,Target_Position,,5,1,Value,3,,,,,,,,
16.641,16,Variable Event,Incorrect_Position,,5,1,Value,1,,,,,,,,
16.641,21,Group Change Event,Group Change,,5,1,New Group,15,,,,,,,,
16.807,39,Input Transition Off Event,Tray #1,,15,0,,,,,,,,,,
16.971,38,Input Transition On Event,FIRBeam #1,,15,0,,,,,,,,,,
17.04,39,Input Transition Off Event,FIRBeam #1,,15,0,,,,,,,,,,
17.183,38,Input Transition On Event,FIRBeam #1,,15,0,,,,,,,,,,
17.234,39,Input Transition Off Event,FIRBeam #1,,15,0,,,,,,,,,,
17.349,38,Input Transition On Event,FIRBeam #1,,15,0,,,,,,,,,,
17.363,30,Touch Down Event,Posner task,,15,4,Position,4,CentralStimulus,0,CoordX,38,CoordY,88,,
17.364,1,Condition Event,Display Cue_Tone,,15,0,,,,,,,,,,
17.364,32,Whisker - Display Image,Posner task,Image,15,2,Position,4,dim,2,,,,,,
17.364,4,Output Off Event,White_Noise_Off #1,,15,0,,,,,,,,,,
17.364,3,Output On Event,Sound_On #1,,15,0,,,,,,,,,,
17.364,32,Whisker - Display Image,Posner task,Image,15,2,Position,3,Cue,3,,,,,,
17.364,29,Timer Event,Hold_Timer,,15,1,Value,0,,,,,,,,
17.364,21,Group Change Event,Group Change,,15,1,New Group,37,,,,,,,,
17.514,1,Condition Event,Hold_Cue,,37,0,,,,,,,,,,
17.514,32,Whisker - Display Image,Posner task,Background,37,2,Position,3,Image 1,0,,,,,,
17.514,4,Output Off Event,Sound_On #1,,37,0,,,,,,,,,,
17.514,3,Output On Event,White_Noise_Off #1,,37,0,,,,,,,,,,
17.514,21,Group Change Event,Group Change,,37,1,New Group,16,,,,,,,,
17.539,1,Condition Event,Hold_CTI,,16,0,,,,,,,,,,
17.539,32,Whisker - Display Image,Posner task,Image,16,2,Position,3,Target,1,,,,,,
17.539,16,Variable Event,Hold_Failure_Counter,,16,1,Value,0,,,,,,,,
17.539,29,Timer Event,zzRT_Timer,,16,1,Value,0,,,,,,,,
17.539,29,Timer Event,Target_Timer,,16,1,Value,0,,,,,,,,
17.539,21,Group Change Event,Group Change,,16,1,New Group,7,,,,,,,,
17.575,39,Input Transition Off Event,FIRBeam #1,,7,0,,,,,,,,,,
17.996,31,Touch Up Event,Posner task,,7,4,Position,4,dim,2,CoordX,45,CoordY,84,,
17.996,1,Condition Event,Leave_During Target,,7,0,,,,,,,,,,
17.996,32,Whisker - Display Image,Posner task,Background,7,2,Position,4,Image 1,0,,,,,,
17.996,16,Variable Event,zzRT_Timer,,7,1,Value,0.457,,,,,,,,
17.996,16,Variable Event,Hold_Timer,,7,1,Value,0.632,,,,,,,,
17.996,29,Timer Event,zzMT_Timer,,7,1,Value,0,,,,,,,,
17.996,21,Group Change Event,Group Change,,7,1,New Group,25,,,,,,,,
18.025,38,Input Transition On Event,FIRBeam #1,,25,0,,,,,,,,,,
18.036,39,Input Transition Off Event,FIRBeam #1,,25,0,,,,,,,,,,
18.539,1,Condition Event,Target off,,25,0,,,,,,,,,,
18.539,16,Variable Event,Target_Timer,,25,1,Value,1,,,,,,,,
18.539,16,Variable Event,Target_Timer,,25,1,Value,0,,,,,,,,
18.539,32,Whisker - Display Image,Posner task,Background,25,2,Position,3,Image 1,0,,,,,,
18.539,61,Group Maintain Event,Group Change,,25,1,New Group,25,,,,,,,,
18.874,30,Touch Down Event,Posner task,,25,4,Position,3,Image 1,0,CoordX,82,CoordY,197,,
18.874,1,Condition Event,Correct_Leaving During Target,,25,0,,,,,,,,,,
18.874,32,Whisker - Display Image,Posner task,Background,25,2,Position,3,Image 1,0,,,,,,
18.874,7,Pulse Output Event,Feeder #1,,25,1,Duration,0.28,,,,,,,,
18.874,3,Output On Event,TrayLight #1,,25,0,,,,,,,,,,
18.874,7,Pulse Output Event,Sound_On #1,,25,1,Duration,1,,,,,,,,
18.874,16,Variable Event,Target_Timer,,25,1,Value,0,,,,,,,,
18.874,16,Variable Event,Target_Timer,,25,1,Value,0,,,,,,,,
18.874,16,Variable Event,zzMT_Timer,,25,1,Value,0.878,,,,,,,,
18.874,21,Group Change Event,Group Change,,25,1,New Group,9,,,,,,,,
18.874,1,Condition Event,Increment Correct_Counter,,9,0,,,,,,,,,,
18.874,16,Variable Event,zz_Correct_Counter,,9,1,Value,1,,,,,,,,
