Schedule,Animal_Id,Group_Id,Date,Database,Chamber,Session_Id,Day,TimeStamp,Trial_Number,Cue_Type,Cue_Validity,Cue_Time,Hold_Time,Target_Time,Correct_Selection,AnticipationError,CommissionError,OmissionError,Reaction_Time,Movement_Time,Touchscreen_error,Audio_Tone,Concecutive_Ant_Errors_Before_Trial,Ant_Error_Train_After_Trial,Percentage_Anticipation_Errors,Percentage_Anticipation_Errors_Per_Mouse
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,523.565,30,Right,Valid,0.15,0.193,1.0,0,0,1,0,0.26501465,0.2590332,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,535.237,31,Left,Valid,0.15,0.194,1.0,0,0,1,0,0.17303467,0.55895996,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,549.083,32,Right,Valid,0.15,0.193,1.0,0,0,0,1,3.1170044,NaN,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,562.836,33,Right,Invalid,0.15,0.185,1.0,1,0,0,0,0.18005371,0.11999512,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,573.062,34,Left,Invalid,0.15,0.182,1.0,0,0,0,1,0.56695557,NaN,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,595.837,35,Right,Valid,0.15,0.179,1.0,1,0,0,0,0.28198242,0.81903076,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,616.09,36,Left,Invalid,0.15,0.194,1.0,0,0,1,0,0.24603271,0.41796875,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,628.58,37,Left,Valid,0.15,0.183,1.0,1,0,0,0,0.2210083,0.6390381,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,638.967,38,Right,Valid,0.15,0.182,1.0,1,0,0,0,0.21899414,0.3789673,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,672.966,39,Right,Invalid,0.15,0.184,1.0,1,0,0,0,0.56604004,0.35998535,2,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,713.39,40,Left,Invalid,0.15,0.178,1.0,0,0,0,1,1.5869751,NaN,2,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,726.993,41,Left,Valid,0.15,0.186,1.0,1,0,0,0,0.2949829,0.09802246,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,754.092,42,Left,Valid,0.15,0.175,1.0,1,0,0,0,0.66796875,0.53900146,2,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,765.83,43,Right,Invalid,0.15,0.191,1.0,0,1,0,0,NaN,NaN,0,no_tone,0,4,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,772.341,44,Right,Invalid,0.15,0.191,1.0,0,1,0,0,NaN,NaN,0,no_tone,1,-1,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,778.083,45,Right,Invalid,0.15,0.191,1.0,0,1,0,0,NaN,NaN,0,no_tone,2,-1,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,783.902,46,Right,Invalid,0.15,0.191,1.0,0,1,0,0,NaN,NaN,0,no_tone,3,-1,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,789.631,47,Right,Invalid,0.15,0.191,1.0,1,0,0,0,0.1539917,0.43902588,0,no_tone,4,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,798.78,48,Left,Valid,0.15,0.199,1.0,0,1,0,0,NaN,NaN,0,no_tone,0,1,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,805.15,49,Left,Valid,0.15,0.199,1.0,1,0,0,0,0.03302002,1.1970215,0,no_tone,1,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,818.382,50,Left,Invalid,0.15,0.186,1.0,1,0,0,0,0.03100586,0.6520386,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,828.083,51,Right,Invalid,0.15,0.195,1.0,0,1,0,0,NaN,NaN,0,tone,0,1,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,834.148,52,Right,Invalid,0.15,0.195,1.0,0,0,0,1,0.8779907,NaN,0,tone,1,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,848.317,53,Right,Valid,0.15,0.192,1.0,1,0,0,0,0.72698975,1.0189819,2,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,861.083,54,Left,Invalid,0.15,0.19,1.0,0,0,1,0,0.190979,0.2999878,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,879.773,55,Right,Valid,0.15,0.199,1.0,1,0,0,0,0.12799072,1.0780029,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,893.047,56,Right,Invalid,0.15,0.185,1.0,1,0,0,0,0.31500244,0.19903564,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,903.479,57,Left,Invalid,0.15,0.195,1.0,0,0,1,0,0.16796875,0.25805664,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,918.755,58,Right,Valid,0.15,0.181,1.0,1,0,0,0,0.048034668,0.6589966,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,929.679,59,Left,Invalid,0.15,0.191,1.0,0,0,1,0,0.32495117,0.25805664,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,945.268,60,Right,Invalid,0.15,0.178,1.0,1,0,0,0,0.38104248,0.7969971,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,960.126,61,Left,Valid,0.15,0.177,1.0,0,0,1,0,0.38104248,0.33898926,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,977.816,62,Right,Invalid,0.15,0.179,1.0,1,0,0,0,0.20397949,0.46002197,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,999.165,63,Right,Valid,0.15,0.198,1.0,1,0,0,0,0.28100586,0.2199707,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1013.141,64,Left,Valid,0.15,0.198,1.0,1,0,0,0,0.24798584,0.23999023,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1024.662,65,Right,Invalid,0.15,0.186,1.0,1,0,0,0,0.3310547,0.6789551,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1042.152,66,Left,Invalid,0.15,0.191,1.0,0,0,0,1,0.77197266,NaN,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1056.326,67,Right,Valid,0.15,0.176,1.0,0,0,1,0,0.49401855,0.07897949,0,tone,0,0,6.557377,6.557377
