768.562,3,Output On Event,TrayLight #1,,17,0,,,,
768.562,21,Group Change Event,Group Change,,17,1,New Group,13,,
768.937,39,Input Transition Off Event,BIRBeam #1,,13,0,,,,
769.155,38,Input Transition On Event,FIRBeam #1,,13,0,,,,
770.258,39,Input Transition Off Event,FIRBeam #1,,13,0,,,,
770.736,38,Input Transition On Event,FIRBeam #1,,13,0,,,,
771.46,39,Input Transition Off Event,FIRBeam #1,,13,0,,,,
771.667,38,Input Transition On Event,BIRBeam #1,,13,0,,,,
772.411,39,Input Transition Off Event,BIRBeam #1,,13,0,,,,
772.772,38,Input Transition On Event,BIRBeam #1,,13,0,,,,
772.869,39,Input Transition Off Event,BIRBeam #1,,13,0,,,,
773.004,38,Input Transition On Event,BIRBeam #1,,13,0,,,,
774.26,38,Input Transition On Event,Tray #1,,13,0,,,,
774.26,1,Condition Event,Tray Push following TO,,13,0,,,,
774.26,4,Output Off Event,Sound #1,,13,0,,,,
774.26,4,Output Off Event,Sound #2,,13,0,,,,
774.26,4,Output Off Event,Sound #3,,13,0,,,,
774.26,7,Pulse Output Event,Sound_On #1,,13,1,Duration,0,,
774.26,21,Group Change Event,Group Change,,13,1,New Group,3,,
774.425,39,Input Transition Off Event,Tray #1,,3,0,,,,
774.425,1,Condition Event,Start Delay,,3,0,,,,
774.425,4,Output Off Event,TrayLight #1,,3,0,,,,
774.425,29,Timer Event,Delay_Timer,,3,1,Value,0,,
774.425,16,Variable Event,Stimulus_Duration_Timer,,3,1,Value,12.864,,
774.425,16,Variable Event,Stimulus_Duration_Timer,,3,1,Value,0,,
774.425,19,List Change - Next Value,Grid_Location,,3,2,Index,13,Value,4
774.425,21,Group Change Event,Group Change,,3,1,New Group,4,,
774.442,38,Input Transition On Event,Tray #1,,4,0,,,,
774.72,39,Input Transition Off Event,Tray #1,,4,0,,,,
775.233,39,Input Transition Off Event,BIRBeam #1,,4,0,,,,
775.415,38,Input Transition On Event,FIRBeam #1,,4,0,,,,
778.751,39,Input Transition Off Event,FIRBeam #1,,4,0,,,,
779.426,1,Condition Event,Start Trial,,4,0,,,,
779.426,29,Timer Event,Stimulus_Duration_Timer,,4,1,Value,0,,
779.426,29,Timer Event,Limited_Hold_Timer,,4,1,Value,0,,
779.426,16,Variable Event,Location,,4,1,Value,4,,
779.426,32,Whisker - Display Image,Bussey Mouse Operant Mode 5 x 1 x low,v_Lamp,4,2,Position,4,LampON,0
779.426,21,Group Change Event,Group Change,,4,1,New Group,7,,
779.553,38,Input Transition On Event,FIRBeam #1,,7,0,,,,
780.867,39,Input Transition Off Event,FIRBeam #1,,7,0,,,,
781.072,30,Touch Down Event,Bussey Mouse Operant Mode 5 x 1 x low,,7,2,Position,5,LampOFF,1
781.074,1,Condition Event,Incorrect To 5,,7,0,,,,
781.074,16,Variable Event,Incorrect_to_5,,7,1,Value,1,,
781.074,21,Group Change Event,Group Change,,7,1,New Group,10,,
781.074,1,Condition Event,Incorrect Response HL on,,10,0,,,,
781.074,3,Output On Event,HouseLight #1,,10,0,,,,
781.074,3,Output On Event,Sound #1,,10,0,,,,
781.074,3,Output On Event,Sound #2,,10,0,,,,
781.074,3,Output On Event,Sound #3,,10,0,,,,
781.074,7,Pulse Output Event,Sound_On #1,,10,1,Duration,0,,
781.074,32,Whisker - Display Image,Bussey Mouse Operant Mode 5 x 1 x low,v_Lamp,10,2,Position,4,LampOFF,1
781.074,29,Timer Event,TimeOut_Timer,,10,1,Value,0,,
781.074,16,Variable Event,Incorrect_Response_Counter,,10,1,Value,1,,
781.074,16,Variable Event,AccuracySub,,10,1,Value,41,,
781.074,16,Variable Event,Limited_Hold_Timer,,10,1,Value,1.649,,
781.074,16,Variable Event,Limited_Hold_Timer,,10,1,Value,0,,
781.074,16,Variable Event,Accuracy,,10,1,Value,40,,
781.074,16,Variable Event,Accuracy,,10,1,Value,0.976,,
781.074,16,Variable Event,_Trial_Counter,,10,1,Value,41,,
781.074,16,Variable Event,OmissionPercent,,10,1,Value,0,,
781.074,16,Variable Event,OmissionPercent,,10,1,Value,0,,
781.074,21,Group Change Event,Group Change,,10,1,New Group,5,,
781.131,31,Touch Up Event,Bussey Mouse Operant Mode 5 x 1 x low,,5,2,Position,5,LampOFF,1
781.131,30,Touch Down Event,Bussey Mouse Operant Mode 5 x 1 x low,,5,2,Position,5,LampOFF,1
781.132,1,Condition Event,TO Response Unpunished,,5,0,,,,
781.213,31,Touch Up Event,Bussey Mouse Operant Mode 5 x 1 x low,,5,2,Position,5,LampOFF,1
782.683,38,Input Transition On Event,FIRBeam #1,,5,0,,,,
783.047,39,Input Transition Off Event,FIRBeam #1,,5,0,,,,
783.098,38,Input Transition On Event,FIRBeam #1,,5,0,,,,
783.426,39,Input Transition Off Event,FIRBeam #1,,5,0,,,,
783.726,38,Input Transition On Event,BIRBeam #1,,5,0,,,,
784.57,39,Input Transition Off Event,BIRBeam #1,,5,0,,,,
785.927,38,Input Transition On Event,BIRBeam #1,,5,0,,,,
786.075,1,Condition Event,EndTimeOut HL Off,,5,0,,,,
786.075,4,Output Off Event,HouseLight #1,,5,0,,,,
786.075,16,Variable Event,TimeOut_Timer,,5,1,Value,5,,
786.075,16,Variable Event,TimeOut_Timer,,5,1,Value,0,,
786.075,29,Timer Event,ITI_Timer,,5,1,Value,0,,
786.075,21,Group Change Event,Group Change,,5,1,New Group,23,,
786.855,39,Input Transition Off Event,BIRBeam #1,,23,0,,,,
786.946,38,Input Transition On Event,FIRBeam #1,,23,0,,,,
788.233,39,Input Transition Off Event,FIRBeam #1,,23,0,,,,
788.519,38,Input Transition On Event,BIRBeam #1,,23,0,,,,
789.302,39,Input Transition Off Event,BIRBeam #1,,23,0,,,,
789.57,38,Input Transition On Event,BIRBeam #1,,23,0,,,,
790.454,39,Input Transition Off Event,BIRBeam #1,,23,0,,,,
790.736,38,Input Transition On Event,BIRBeam #1,,23,0,,,,
791.075,1,Condition Event,ITI End Following Incorrect,,23,0,,,,
